file_path,artifact_type,row_count,sha256,description,locked_input_commit
metadata/stage5_input_lock.csv,csv,7,d818327e572dc52c4f74db9231f9207383a39a926e425ba13d25919341ce58da,Locked inherited Stage 0–4 input checksums,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_research_questions.csv,csv,11,6f2854d93713534e89f64ff743d4ec2a0bdd101e9a109989cb13bfcecd1aaa14,Frozen strategy–result research questions,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_period_scope.csv,csv,7,7c70d6e7c6b1f917ad3685c08f5f0b2d215e7ac62b008b5e7cee0bfec0f3b713,"Primary, lagged, current-snapshot, interim, and contextual period rules",888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_strategy_taxonomy.csv,csv,9,65c5ffd83c847b9f93c64a4bafd8ca6bf27abe26ee5ea2acd2ff69e07862c684,Pre-specified strategic-lever taxonomy,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_outcome_taxonomy.csv,csv,18,32a3b729ea1e903a24a30e5927e47e909745e527c42281dd0997a7919320cc03,"Separated portfolio, commercial, profitability, capital, operational, and market outcomes",888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_reporting_entity_scope.csv,csv,10,6db1c9e177363b9e789be2094d1f922a1a9fcfb7b4d659fe1c3ee71a1be508e8,Reporting-entity and portfolio-perimeter rules,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_source_requirements.csv,csv,11,bc644cc6dc5fa6ad5fa8a7df7799e1ff5a4512e4beeb0baff08fd5ac3c053c2c,Source hierarchy and acquisition requirements,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_attribution_evidence_rules.csv,csv,9,a2afb7e170f71d6bb6937cfc41c3e84c027c4e2df82525096a2cf776215006a5,Attribution classes and evidence-strength rules,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_linkage_eligibility_rules.csv,csv,16,39142fd09351f473c033a8862678e5ff1327871407e05a8b1e6b9093c74b092a,Pre-specified strategy–result linkage gates,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
metadata/stage5_design_validation.csv,csv,26,bdff4b05d8f23a1f5f53b8cfd31cfb8f218d3e831a7c70f375403bdbc9be79e0,Stage 5 research-design validation and final gate,888c42ff5a9bab3b8d86eef5c5026eb3203b20bc
